Step-eval,Value-eval
29970,-0.8562207818
59970,-1.6553755999
89970,-2.4246850014
119970,10.7752285004
149970,7.6996350288
179970,1.362983346
209970,12.6678771973
239970,9.4106359482
269970,9.5089044571
299970,11.4508152008
329970,18.7932376862
359970,10.6692638397
389970,23.6333866119
419970,17.8140354156
449970,27.8247261047
479970,24.2986164093
509970,20.4576663971
539970,31.8296260834
569970,20.9760875702
599970,17.7353210449
629970,14.1632032394
659970,20.2304954529
689970,23.1280174255
719970,17.4655399323
749970,22.3113536835
779970,13.9529018402
809970,10.2357387543
839970,19.8472995758
869970,16.6879444122
899970,24.6690597534
929970,16.534702301
959970,16.0330963135
989970,25.4865932465
1019970,29.84400177
1049970,28.7843914032
1079970,47.7170028687
1109970,42.5520858765
1139970,48.678855896
1169970,49.5310211182
1199970,35.6933250427
1229970,29.4103050232
1259970,34.3876495361
1289970,25.3750801086
1319970,43.3087081909
1349970,42.2535667419
1379970,39.8126754761
1409970,41.9782791138
1439970,21.3412246704
1469970,26.8940734863
1499970,53.4900131226
1529970,63.8241043091
1559970,60.3897171021
1589970,52.0629196167
1619970,73.2046661377
1649970,66.3174133301
1679970,50.4085693359
1709970,66.2438278198
1739970,43.567565918
1769970,41.869972229
1799970,70.879524231
1829970,76.0771560669
1859970,61.1122398376
1889970,64.7762145996
1919970,58.4355278015
1949970,81.9453277588
1979970,79.8649597168
2009970,34.8860359192
2039970,48.9122276306
2069970,65.897605896
2099970,67.1528396606
2129970,48.4771499634
2159970,56.7507171631
2189970,68.3186035156
2219970,66.556022644
2249970,89.3654022217
2279970,57.5127601624
2309970,69.4889068604
2339970,90.1812362671
2354970,-7.5355606079
2369970,74.7229995728
2384970,62.2566566467
2399970,96.119682312
2429970,84.8600616455
2459970,74.652381897
2489970,55.6059036255
2519970,67.5535507202
2549970,78.0191268921
2579970,55.6724243164
2594970,28.6487064362
2609970,44.4050559998
2624970,-20.6459674835
2639970,59.756526947
2669970,60.3894195557
2699970,70.0635147095
2714970,-34.3426933289
2729970,63.0765419006
2759970,60.221534729
2774970,-14.5028190613
2789970,46.5166435242
2819970,70.4695739746
2849970,79.3757781982
2879970,58.7375640869
2909970,61.8287696838
2939970,76.3076553345
2969970,77.7489242554
2999970,49.951335907
3014970,44.635383606
3029970,67.1772766113
3044970,-2.0439045429
3059970,71.4111633301
3089970,78.5886917114
3119970,104.7198638916
3134970,-7.7391915321
3149970,65.8412628174
3179970,67.7287826538
3209970,96.940826416
3224970,-8.462430954
3239970,80.8233795166
3269970,89.0460281372
3299970,76.0402755737
3329970,89.8137130737
3344970,32.9770126343
3359970,57.5621643066
3389970,74.749786377
3419970,84.0311660767
3434970,10.7512626648
3449970,88.5247955322
3479970,84.578338623
3509970,79.4165725708
3524970,4.0029778481
3539970,78.3091964722
3554970,0.5188784599
3569970,54.4926719666
3599970,84.0528564453
3614970,26.8993225098
3629970,61.0913619995
3659970,95.9836273193
3689970,71.2953186035
3719970,54.8996429443
3749970,73.1330718994
3764970,59.0097885132
3779970,80.1724319458
3794970,-41.3328742981
3809970,67.6346206665
3824970,4.8913908005
3839970,112.4246292114
3869970,77.719367981
3884970,-57.849029541
3899970,70.5875091553
3914970,105.9065628052
3929970,84.7544403076
3959970,87.297164917
3974970,2.914129734
3989970,95.6240768433
4019970,107.8821792603
4049970,65.8274536133
4079970,87.9698638916
4109970,93.7699432373
4139970,88.759437561
4169970,70.5204925537
4199970,79.1077804565
4214970,83.6723937988
4229970,73.4792480469
4259970,95.2853164673
4289970,85.9859695435
4319970,76.6653518677
